Datum,Sonnenaufgang,Sonnenuntergang,Tageslaenge,Niederschlag (l/m^2),Sonnenschein (h),Schneehoehe (cm),Sonnenschein (%),Tageslaenge (dezimal)
2013-09-10,6:44:34,19:47:59,13:03:25,1.8,3.3,0,0.252873563,13.05
2013-09-11,6:46:22,19:45:29,12:59:07,0.1,1.1,0,0.084745763,12.98
2013-09-12,6:48:10,19:42:58,12:54:48,0.2,1.9,0,0.147286822,12.9
2013-09-13,6:49:58,19:40:27,12:50:29,0,3.3,0,0.257209665,12.83
2013-09-14,6:51:47,19:37:56,12:46:09,6,4.1,0,0.321064996,12.77
2013-09-15,6:53:35,19:35:25,12:41:50,6.7,4,0,0.315457413,12.68
2013-09-16,6:55:23,19:32:54,12:37:31,1.9,4.8,0,0.380348653,12.62
2013-09-17,6:57:12,19:30:23,12:33:11,3.7,6.5,0,0.517928287,12.55
2013-09-18,6:59:00,19:27:52,12:28:52,0,6.1,0,0.489174018,12.47
2013-09-19,7:00:49,19:25:20,12:24:31,1.3,6.4,0,0.516129032,12.4
2013-09-20,7:02:38,19:22:49,12:20:11,0,0.6,0,0.0486618,12.33
2013-09-21,7:04:26,19:20:18,12:15:52,0,1.1,0,0.089795918,12.25
2013-09-22,7:06:15,19:17:46,12:11:31,0.1,1.9,0,0.155993432,12.18
2013-09-23,7:08:05,19:15:15,12:07:10,0,1.3,0,0.107260726,12.12
2013-09-24,7:09:54,19:12:44,12:02:50,0,1.8,0,0.149625935,12.03
2013-09-25,7:11:43,19:10:13,11:58:30,16.7,1.3,0,0.108604845,11.97
2013-09-26,7:13:33,19:07:43,11:54:10,1,9.2,0,0.773109244,11.9
2013-09-27,7:15:23,19:05:12,11:49:49,0.7,4.3,0,0.363790186,11.82
2013-09-28,7:17:13,19:02:42,11:45:29,0,9.9,0,0.842553191,11.75
2013-09-29,7:19:03,19:00:12,11:41:09,0,9.8,0,0.839041096,11.68
2013-09-30,7:20:53,18:57:42,11:36:49,0,10.1,0,0.870689655,11.6
2013-10-01,7:22:44,18:55:13,11:32:29,0,9.9,0,0.858629662,11.53
2013-10-02,7:24:35,18:52:44,11:28:09,0,10.2,0,0.889276373,11.47
2013-10-03,7:26:26,18:50:15,11:23:49,0,9.6,0,0.843585237,11.38
2013-10-04,7:28:18,18:47:47,11:19:29,1.3,2.5,0,0.220848057,11.32
2013-10-05,7:30:10,18:45:19,11:15:09,0,0.2,0,0.017777778,11.25
2013-10-06,7:32:02,18:42:52,11:10:50,0,0.4,0,0.035810206,11.17
2013-10-07,7:33:54,18:40:25,11:06:31,0,6.8,0,0.612612613,11.1
2013-10-08,7:35:47,18:37:59,11:02:12,0,2.1,0,0.190389846,11.03
2013-10-09,7:37:40,18:35:34,10:57:54,0.8,0.1,0,0.00913242,10.95
2013-10-10,7:39:33,18:33:09,10:53:36,0.4,3.2,0,0.294117647,10.88
2013-10-11,7:41:27,18:30:44,10:49:17,0,0.8,0,0.073937153,10.82
2013-10-12,7:43:21,18:28:21,10:45:00,9.8,0,0,0,10.75
2013-10-13,7:45:15,18:25:58,10:40:43,0,1.5,0,0.140581068,10.67
2013-10-14,7:47:09,18:23:36,10:36:27,0.1,5.9,0,0.556603774,10.6
2013-10-15,7:49:04,18:21:14,10:32:10,10.7,0,0,0,10.53
2013-10-16,7:51:00,18:18:54,10:27:54,0.6,0.2,0,0.019138756,10.45
2013-10-17,7:52:55,18:16:34,10:23:39,7,0,0,0,10.38
2013-10-18,7:54:51,18:14:15,10:19:24,0,7.3,0,0.707364341,10.32
2013-10-19,7:56:47,18:11:57,10:15:10,4.7,0,0,0,10.25
2013-10-20,7:58:43,18:09:41,10:10:58,7.6,0.3,0,0.029498525,10.17
2013-10-21,8:00:40,18:07:25,10:06:45,0.2,0.2,0,0.01980198,10.1
2013-10-22,8:02:37,18:05:10,10:02:33,0.1,6.8,0,0.677966102,10.03
2013-10-23,8:04:34,18:02:56,09:58:22,0.3,0.4,0,0.040120361,9.97
2013-10-24,8:06:32,18:00:44,09:54:12,0.1,3,0,0.303030303,9.9
2013-10-25,8:08:30,17:58:32,09:50:02,0.9,0.3,0,0.03051882,9.83
2013-10-26,8:10:28,17:56:22,09:45:54,0.3,2.8,0,0.287179487,9.75
2013-10-27,7:12:31,16:54:08,09:41:37,1.9,1.9,0,0.196280992,9.68
2013-10-28,7:14:29,16:52:01,09:37:32,13.5,0.4,0,0.041580042,9.62
2013-10-29,7:16:28,16:49:55,09:33:27,5.5,0.5,0,0.052356021,9.55
2013-10-30,7:18:26,16:47:50,09:29:24,1.3,3.3,0,0.348101266,9.48
2013-10-31,7:20:25,16:45:47,09:25:22,5.8,3.9,0,0.414012739,9.42
2013-11-01,7:22:24,16:43:46,09:21:22,2.3,0,0,0,9.35
2013-11-02,7:24:22,16:41:46,09:17:24,8.2,0.1,0,0.010775862,9.28
2013-11-03,7:26:21,16:39:47,09:13:26,0.3,1.4,0,0.151843818,9.22
2013-11-04,7:28:20,16:37:51,09:09:31,6.5,0,0,0,9.15
2013-11-05,7:30:18,16:35:56,09:05:38,2.2,2.8,0,0.308370044,9.08
2013-11-06,7:32:17,16:34:03,09:01:46,4.3,3.1,0,0.34368071,9.02
2013-11-07,7:34:15,16:32:12,08:57:57,0.5,1.6,0,0.17877095,8.95
2013-11-08,7:36:13,16:30:23,08:54:10,2.6,4.7,0,0.528089888,8.9
2013-11-09,7:38:11,16:28:35,08:50:24,11.7,1.4,0,0.158550396,8.83
2013-11-10,7:40:08,16:26:50,08:46:42,0.2,4.6,0,0.524515393,8.77
2013-11-11,7:42:05,16:25:07,08:43:02,0,4.6,0,0.527522936,8.72
2013-11-12,7:44:01,16:23:26,08:39:25,1.7,0,0,0,8.65
2013-11-13,7:45:57,16:21:48,08:35:51,0,5.4,0,0.629370629,8.58
2013-11-14,7:47:53,16:20:11,08:32:18,0,1.3,0,0.152403283,8.53
2013-11-15,7:49:47,16:18:37,08:28:50,0,0,0,0,8.47
2013-11-16,7:51:41,16:17:06,08:25:25,0,0,0,0,8.42
2013-11-17,7:53:34,16:15:37,08:22:03,0,3.9,0,0.465949821,8.37
2013-11-18,7:55:26,16:14:10,08:18:44,0.1,0,0,0,8.3
2013-11-19,7:57:17,16:12:47,08:15:30,0.1,0,0,0,8.25
2013-11-20,7:59:07,16:11:25,08:12:18,0,1.1,0,0.134146341,8.2
2013-11-21,8:00:56,16:10:07,08:09:11,1.2,5,0,0.613496933,8.15
2013-11-22,8:02:44,16:08:52,08:06:08,0,0,0,0,8.1
2013-11-23,8:04:30,16:07:39,08:03:09,0.2,3.8,0,0.472049689,8.05
2013-11-24,8:06:15,16:06:29,08:00:14,0,5,0,0.625,8
2013-11-25,8:07:58,16:05:23,07:57:25,0,5.7,0,0.716981132,7.95
2013-11-26,8:09:40,16:04:19,07:54:39,0.8,4,0,0.506329114,7.9
2013-11-27,8:11:20,16:03:19,07:51:59,0.6,0,0,0,7.85
2013-11-28,8:12:58,16:02:22,07:49:24,0,3,0,0.383631714,7.82
2013-11-29,8:14:34,16:01:28,07:46:54,10.6,0,0,0,7.77
2013-11-30,8:16:08,16:00:38,07:44:30,0.1,0,0,0,7.73
2013-12-01,8:17:41,15:59:51,07:42:10,0.1,0.5,0,0.064935065,7.7
2013-12-02,8:19:10,15:59:07,07:39:57,0,1.9,0,0.248366013,7.65
2013-12-03,8:20:38,15:58:27,07:37:49,0,0,0,0,7.62
2013-12-04,8:22:03,15:57:51,07:35:48,1.9,0,0,0,7.58
2013-12-05,8:23:26,15:57:18,07:33:52,10.2,0,0,0,7.55
2013-12-06,8:24:46,15:56:49,07:32:03,2.1,0.2,0,0.026560425,7.53
2013-12-07,8:26:03,15:56:24,07:30:21,1.6,1.7,0,0.226666667,7.5
2013-12-08,8:27:17,15:56:02,07:28:45,12,0,0,0,7.47
2013-12-09,8:28:29,15:55:44,07:27:15,0.1,0,0,0,7.45
2013-12-10,8:29:38,15:55:30,07:25:52,0,0,0,0,7.42
2013-12-11,8:30:43,15:55:20,07:24:37,0,0,0,0,7.4
2013-12-12,8:31:46,15:55:14,07:23:28,0.4,0,0,0,7.38
2013-12-13,8:32:45,15:55:12,07:22:27,3.6,0,0,0,7.37
2013-12-14,8:33:40,15:55:13,07:21:33,0.4,0,0,0,7.35
2013-12-15,8:34:33,15:55:19,07:20:46,1.7,0,0,0,7.33
2013-12-16,8:35:22,15:55:28,07:20:06,1.5,0,0,0,7.33
2013-12-17,8:36:07,15:55:41,07:19:34,0.2,0.1,0,0.013661202,7.32
2013-12-18,8:36:49,15:55:59,07:19:10,0,0.2,0,0.027322404,7.32
2013-12-19,8:37:28,15:56:20,07:18:52,5.9,0,0,0,7.3
2013-12-20,8:38:02,15:56:45,07:18:43,0,0,0,0,7.3
2013-12-21,8:38:33,15:57:13,07:18:40,3.3,0,0,0,7.3
2013-12-22,8:39:00,15:57:46,07:18:46,1.7,0.1,0,0.01369863,7.3
2013-12-23,8:39:23,15:58:22,07:18:59,0.8,2,0,0.273972603,7.3
2013-12-24,8:39:43,15:59:02,07:19:19,7.5,0,0,0,7.32
2013-12-25,8:39:59,15:59:46,07:19:47,0.3,0.3,0,0.040983607,7.32
2013-12-26,8:40:10,16:00:34,07:20:24,2.1,0,0,0,7.33
2013-12-27,8:40:18,16:01:25,07:21:07,5,0,0,0,7.35
2013-12-28,8:40:23,16:02:19,07:21:56,0.2,0,0,0,7.35
2013-12-29,8:40:23,16:03:17,07:22:54,5.5,0,0,0,7.37
2013-12-30,8:40:19,16:04:18,07:23:59,0.1,2.8,0,0.379403794,7.38
2013-12-31,8:40:12,16:05:23,07:25:11,0,2.8,0,0.377358491,7.42
2014-01-01,8:40:00,16:06:31,07:26:31,0.6,0.5,0,0.067294751,7.43
2014-01-02,8:39:45,16:07:42,07:27:57,1,0,0,0,7.45
2014-01-03,8:39:27,16:08:56,07:29:29,2.7,0,0,0,7.48
2014-01-04,8:39:04,16:10:13,07:31:09,0,1.1,0,0.146276596,7.52
2014-01-05,8:38:38,16:11:32,07:32:54,0.7,0,0,0,7.53
2014-01-06,8:38:08,16:12:55,07:34:47,10.4,0,0,0,7.57
2014-01-07,8:37:34,16:14:20,07:36:46,0.8,0.3,0,0.039473684,7.6
